keys,en,de
"Hub to ekran startowy każdej tury — w rogach widać Twoją lokalizację i datę, liczbę zebranych obrazów, termin następnej aukcji oraz gotówkę. Menu w prawym dolnym rogu ma cztery stałe przyciski: „Jedź »” (otwiera mapę świata), „Miejsca »” (rozwija podmenu lokacji), „Koniec tury »” (przesuwa kalendarz) i „Zapisz i wyjdź do menu” (zapisuje grę).","The Hub is your starting screen each turn — the corners show your location and date, how many paintings you've collected, the date of the next auction, and your cash. The menu in the bottom-right corner has four fixed buttons: “Travel »” (opens the world map), “Places »” (expands the location submenu), “End turn »” (advances the calendar), and “Save and exit to menu” (saves the game).","Die Zentrale ist dein Startbildschirm für jede Runde — in den Ecken siehst du deinen Standort und das Datum, wie viele Gemälde du gesammelt hast, den Termin der nächsten Auktion und dein Bargeld. Das Menü unten rechts hat vier feste Schaltflächen: „Reisen »“ (öffnet die Weltkarte), „Orte »“ (klappt das Standort-Untermenü auf), „Zug beenden »“ (lässt den Kalender voranschreiten) und „Speichern und zum Menü“ (speichert das Spiel)."
"Przycisk „Miejsca »” pokazuje wszystkie akcje dostępne w Twojej bieżącej lokalizacji: Plantacje i Spichlerz tylko w miastach plantacyjnych, Dom aukcyjny i Galeria tylko w miastach aukcyjnych, Giełda i Rynek w Nowym Jorku i miastach aukcyjnych, Szkoła sztuki wyłącznie w Paryżu — a Wyścigi konne i Ochrona są dostępne zawsze, z każdej lokalizacji. Niedostępna tu akcja po prostu nie pokazuje się na liście, zamiast być wyszarzona.","The “Places »” button shows every action available at your current location: Plantations and the Warehouse only in plantation cities, the Auction House and Gallery only in auction cities, the Stock Market and Market in New York and auction cities, the Art School only in Paris — while Horse Races and Protection are always available, from anywhere. An action that isn't available here simply doesn't appear on the list, rather than being grayed out.","Die Schaltfläche „Orte »“ zeigt alle an deinem aktuellen Standort verfügbaren Aktionen: Plantagen und Kornspeicher nur in Plantagenstädten, Auktionshaus und Galerie nur in Auktionsstädten, Börse und Markt in New York und in Auktionsstädten, die Kunstschule ausschließlich in Paris — Pferderennen und Schutz sind dagegen immer verfügbar, von jedem Ort aus. Eine hier nicht verfügbare Aktion erscheint einfach gar nicht in der Liste, statt nur ausgegraut zu sein."
"„Jedź »” otwiera mapę świata z 18 lokacjami — dotknij pinezkę, żeby zobaczyć czas podróży (od ok. 1,5 dnia między sąsiednimi miastami Europy do prawie miesiąca na najdłuższych trasach) i potwierdzić przyciskiem „Jedź »” na dole ekranu. Mapę można przybliżać (uszczypnięcie/kółko myszy) i przesuwać przeciąganiem. „Koniec tury »” przesuwa kalendarz o 7 dni, chyba że w tym oknie wypada zaplanowana aukcja w Twoim mieście — wtedy tura skraca się, żeby jej nie przegapić.","“Travel »” opens the world map with 18 locations — tap a pin to see the travel time (from about 1.5 days between neighbouring European cities to almost a month on the longest routes) and confirm with the “Travel »” button at the bottom of the screen. The map can be zoomed (pinch or mouse wheel) and panned by dragging. “End turn »” advances the calendar by 7 days, unless a scheduled auction in your city falls within that window — then the turn is shortened so you don't miss it.","„Reisen »“ öffnet die Weltkarte mit 18 Orten — tippe eine Markierung an, um die Reisezeit zu sehen (von etwa 1,5 Tagen zwischen benachbarten europäischen Städten bis fast einem Monat auf den längsten Strecken) und bestätige mit der Schaltfläche „Reisen »“ am unteren Bildschirmrand. Die Karte lässt sich zoomen (Zwei-Finger-Geste oder Mausrad) und durch Ziehen verschieben. „Zug beenden »“ lässt den Kalender um 7 Tage voranschreiten, außer in diesem Zeitraum liegt eine geplante Auktion in deiner Stadt — dann wird die Runde verkürzt, damit du sie nicht verpasst."
"Każde miasto plantacyjne ma własną siatkę 16×16 pól, wspólną dla wszystkich graczy i wylosowaną raz na całą grę — rzeka (niebieski pas) przecina siatkę po przekątnej. Pole kosztuje 500 M i kupujesz je, dotykając wolnego pola (ikonka „+”); kto pierwszy kupi dane pole, ten jest jego właścicielem na resztę gry. Pola leżące obok rzeki — poziomo, pionowo lub po przekątnej — dają DWA RAZY większy plon niż pola zwykłe, więc miejsce przy rzece jest najcenniejszą działką na planszy.","Every plantation city has its own 16×16 grid of plots, shared by all players and randomised once for the whole game — a river (blue band) cuts diagonally across the grid. A plot costs 500 M and you buy it by tapping a free plot (the “+” icon); whoever buys a given plot first owns it for the rest of the game. Plots next to the river — horizontally, vertically or diagonally — yield TWICE as much as ordinary plots, so riverside land is the most valuable spot on the board.","Jede Plantagenstadt hat ihr eigenes 16×16-Feldraster, das allen Spielern gemeinsam gehört und einmal für die gesamte Partie zufällig festgelegt wird — ein Fluss (blaues Band) durchquert das Raster diagonal. Ein Feld kostet 500 M und wird durch Antippen eines freien Feldes (Symbol „+“) gekauft; wer ein Feld zuerst kauft, dem gehört es für den Rest der Partie. Felder neben dem Fluss — waagerecht, senkrecht oder diagonal — liefern DOPPELT so viel Ertrag wie gewöhnliche Felder, weshalb Land am Fluss die wertvollste Parzelle auf dem Feld ist."
"Kupione, ale puste pole (goła ziemia) zasadzasz, dotykając go — obsiewa się uprawą wybraną w rozwijanej liście „Sadzić:” (Kawa, Tytoń, Herbata, Kakao, a w Ankarze i Gwatemali dodatkowo ryzykowna „Przemycana uprawa”). Jedna plantacja może uprawiać kilka różnych roślin naraz, każdą na innych polach. Pole „Robotnicy:” ustawia liczbę zatrudnionych na CAŁEJ plantacji (do 500) — każdy kosztuje 1 M dziennie, płatne automatycznie z Twojej gotówki. Plon rośnie WPROST proporcjonalnie do liczby robotników: przy 500 robotnikach dostajesz pełny plon z tabeli referencyjnej, przy 250 — połowę, przy 0 — nic, niezależnie od tego, ile masz obsianych pól.","A bought but empty plot (bare soil) is planted by tapping it — it gets sown with whatever crop is selected in the “Plant:” dropdown (Coffee, Tobacco, Tea, Cocoa, and in Ankara and Guatemala also the risky “Smuggled crop”). One plantation can grow several different crops at once, each on its own plots. The “Workers:” field sets how many are employed on the WHOLE plantation (up to 500) — each costs 1 M a day, paid automatically from your cash. Yield scales DIRECTLY with the number of workers: 500 workers gets you the full reference yield, 250 gets half, 0 gets nothing, no matter how many plots you have sown.","Ein gekauftes, aber leeres Feld (kahle Erde) wird durch Antippen bepflanzt — es wird mit der in der Auswahlliste „Anbauen:“ gewählten Pflanze bestellt (Kaffee, Tabak, Tee, Kakao, in Ankara und Guatemala zusätzlich der riskante „geschmuggelte Anbau“). Eine Plantage kann mehrere verschiedene Pflanzen gleichzeitig anbauen, jede auf eigenen Feldern. Das Feld „Arbeiter:“ legt fest, wie viele auf der GESAMTEN Plantage beschäftigt sind (bis zu 500) — jeder kostet 1 M pro Tag, automatisch von deinem Bargeld bezahlt. Der Ertrag steigt DIREKT proportional zur Arbeiterzahl: bei 500 Arbeitern erhältst du den vollen Referenzertrag, bei 250 die Hälfte, bei 0 nichts — unabhängig davon, wie viele Felder bestellt sind."
"Poza robotnikami na wielkość zbiorów wpływają jeszcze trzy czynniki: pora roku (zimą i latem plon spada nawet do 30-40% normy, wiosną i jesienią jest najwyższy), czas od ostatnich zbiorów (plon liczy się proporcjonalnie do dni, jakie minęły) oraz sama liczba i jakość Twoich pól (pole przy rzece liczy się podwójnie). Każde miasto ma inny profil upraw — np. Ankara/Bombaj/Colombo dają dużo herbaty i mało kawy, Rio/Abidżan/Duala odwrotnie — więc opłaca się sprawdzić, co w danym mieście rośnie najlepiej.","Besides workers, three more factors affect harvest size: the season (yield drops to as low as 30-40% of normal in winter and summer, and peaks in spring and autumn), time since the last harvest (yield scales with how many days have passed), and the number and quality of your plots (a riverside plot counts double). Every city has a different crop profile — Ankara/Bombay/Colombo grow lots of tea and little coffee, Rio/Abidjan/Douala the other way round — so it pays to check what grows best where you are.","Neben den Arbeitern beeinflussen noch drei weitere Faktoren die Erntemenge: die Jahreszeit (im Winter und Sommer sinkt der Ertrag auf bis zu 30-40% der Norm, im Frühling und Herbst ist er am höchsten), die Zeit seit der letzten Ernte (der Ertrag skaliert mit den vergangenen Tagen) sowie Anzahl und Qualität deiner Felder (ein Feld am Fluss zählt doppelt). Jede Stadt hat ein anderes Anbauprofil — Ankara/Bombay/Colombo liefern viel Tee und wenig Kaffee, Rio/Abidjan/Duala umgekehrt — es lohnt sich also zu prüfen, was wo am besten gedeiht."
"„Kup pompę wodną (5000 M)” to jednorazowa inwestycja na całą plantację: podnosi CAŁY jej plon o 20% i całkowicie chroni przed suszą/powodzią (bez pompy ryzyko klęski pogodowej wynosi ok. 3% na tydzień). Jeśli zabraknie Ci gotówki na wypłaty dla robotników, grozi strajk — plantacja traci wszystkie zebrane zapasy i połowę załogi; w niespokojnych regionach (m.in. Ankara, Bombaj, Colombo) to samo mogą wywołać zamieszki. Trzy takie uderzenia z rzędu (strajk lub zamieszki, liczone łącznie) kosztują całą plantację.","“Buy water pump (5000 M)” is a one-time investment for the whole plantation: it raises its ENTIRE yield by 20% and fully protects against drought/flooding (without a pump, weather-disaster risk is about 3% a week). If you can't afford your workers' wages, you risk a strike — the plantation loses all its stored goods and half its workforce; in unstable regions (including Ankara, Bombay, Colombo) unrest can cause the same thing. Three such hits in a row (strikes or unrest, counted together) cost you the entire plantation.","„Wasserpumpe kaufen (5000 M)“ ist eine einmalige Investition für die gesamte Plantage: Sie steigert ihren GESAMTEN Ertrag um 20% und schützt vollständig vor Dürre/Überschwemmung (ohne Pumpe liegt das Risiko einer Wetterkatastrophe bei etwa 3% pro Woche). Reicht dein Geld nicht für die Löhne, droht ein Streik — die Plantage verliert alle gelagerten Vorräte und die halbe Belegschaft; in unruhigen Regionen (u.a. Ankara, Bombay, Colombo) können Unruhen dasselbe auslösen. Drei solcher Treffer in Folge (Streiks oder Unruhen zusammengerechnet) kosten dich die gesamte Plantage."
Legenda: ikony statystyk,Legend: status icons,Legende: Statussymbole
Legenda: kolory pinezek na mapie,Legend: map pin colors,Legende: Farben der Kartenmarkierungen
Legenda: pola na siatce,Legend: grid plots,Legende: Felder im Raster
Złota moneta — Twoja gotówka.,Gold coin — your cash.,Goldmünze — dein Bargeld.
Kalendarzyk — aktualna data w grze.,Calendar — the current in-game date.,Kalender — das aktuelle Datum im Spiel.
Lupa — Twoja eksperckość (patrz sekcja „Szkoła sztuki” niżej).,Magnifying glass — your expertise (see the “Art School” section below).,Lupe — deine Expertise (siehe Abschnitt „Kunstschule“ weiter unten).
Miasto plantacyjne — dostępne tu Plantacje i Spichlerz.,A plantation city — Plantations and the Warehouse are available here.,Eine Plantagenstadt — hier sind Plantagen und Kornspeicher verfügbar.
Miasto aukcyjne — dostępny tu Dom aukcyjny i Galeria (a w Paryżu dodatkowo Szkoła sztuki).,"An auction city — the Auction House and Gallery are available here (and in Paris, also the Art School).",Eine Auktionsstadt — hier sind Auktionshaus und Galerie verfügbar (in Paris zusätzlich die Kunstschule).
"Nowy Jork — jedyne miasto typu „hub”, dostępne tu Giełda i Rynek (razem z miastami aukcyjnymi).","New York — the only “hub” city, where the Stock Market and Market are available (along with auction cities).","New York — die einzige „Hub“-Stadt, hier sind Börse und Markt verfügbar (zusammen mit den Auktionsstädten)."
Twoja aktualna lokalizacja.,Your current location.,Dein aktueller Standort.
"Rzeka — niedostępna do kupienia; pola obok niej (poziomo, pionowo lub po przekątnej) dają dwa razy większy plon.","River — cannot be bought; the plots next to it (horizontally, vertically or diagonally) yield twice as much.","Fluss — kann nicht gekauft werden; die Felder daneben (waagerecht, senkrecht oder diagonal) liefern doppelten Ertrag."
"Wolne pole — kosztuje 500 M, dotknij, żeby je kupić.","Free plot — costs 500 M, tap to buy it.","Freies Feld — kostet 500 M, zum Kaufen antippen."
"Twoje pole, jeszcze niezasiane — dotknij, żeby zasiać uprawę wybraną w liście „Sadzić:”.","Your plot, not yet planted — tap to sow the crop selected in the “Plant:” list.","Dein Feld, noch nicht bepflanzt — antippen, um die in der Liste „Anbauen:“ gewählte Pflanze zu säen."
Twoje pole sąsiadujące z rzeką (jasna obwódka) — po zasianiu da dwa razy większy plon niż zwykłe pole.,"Your riverside plot (light outline) — once planted, it yields twice as much as an ordinary plot.",Dein Feld am Fluss (heller Rand) — nach der Bepflanzung liefert es doppelt so viel Ertrag wie ein gewöhnliches Feld.
"Obsiane pole — kolor rośliny pokazuje uprawę (tu: kawa); z czasem wygląd „dojrzewa”, czysto kosmetycznie, bez wpływu na plon.","A planted plot — the plant's colour shows the crop (here: coffee); its look “matures” over time, purely cosmetic, with no effect on yield.","Ein bepflanztes Feld — die Farbe der Pflanze zeigt die Anbaupflanze (hier: Kaffee); das Aussehen „reift“ mit der Zeit, rein kosmetisch, ohne Einfluss auf den Ertrag."
"Przemycana uprawa — dostępna tylko w Ankarze i Gwatemali; wyższa cena sprzedaży, ale ryzyko konfiskaty.","Smuggled crop — only available in Ankara and Guatemala; a higher sale price, but a risk of confiscation.","Geschmuggelter Anbau — nur in Ankara und Guatemala verfügbar; höherer Verkaufspreis, aber Konfiskationsrisiko."
Tylko w grze wieloosobowej: pole zajęte przez innego gracza (kolor + inicjał imienia) — nie da się go kupić ani na nim sadzić.,Multiplayer only: a plot claimed by another player (colour + name initial) — it can't be bought or planted on.,Nur im Mehrspielermodus: ein von einem anderen Spieler belegtes Feld (Farbe + Namenskürzel) — es kann weder gekauft noch bepflanzt werden.
„Zbierz plony” zbiera od razu wszystkie dojrzałe uprawy z tej plantacji (może być kilka naraz) i pokazuje łączną ilość. „Wyślij i sprzedaj” wysyła cały zebrany zapas do sprzedaży w Nowym Jorku. Przycisk „Spichlerz »” prowadzi do zbiorczego magazynu wszystkich Twoich plantacji w tym mieście (opisany niżej). Poniżej — pełna legenda wyglądu pól.,“Harvest” immediately collects every ripe crop on this plantation (there can be several at once) and shows the total amount. “Ship and sell” sends the whole stored batch off to be sold in New York. The “Warehouse »” button leads to the combined store for all your plantations in this city (described below). Below — the full legend of plot appearances.,„Ernten“ sammelt sofort alle reifen Ernten dieser Plantage ein (es können mehrere gleichzeitig sein) und zeigt die Gesamtmenge. „Verschicken und verkaufen“ schickt den gesamten gelagerten Bestand zum Verkauf nach New York. Die Schaltfläche „Kornspeicher »“ führt zum gemeinsamen Lager all deiner Plantagen in dieser Stadt (weiter unten beschrieben). Darunter — die vollständige Legende der Feldansichten.
"Spichlerz to ekran widoczny tylko w mieście plantacyjnym — zbiera w jednym miejscu zebrane plony ze WSZYSTKICH Twoich plantacji w tym mieście, nie tylko z jednej. Pięć „silosów” (Kawa, Tytoń, Herbata, Kakao i — jeśli akurat masz coś zebrane — Przemycana uprawa) pokazuje ilość zapasów i aktualną cenę sprzedaży za jednostkę; poziom wypełnienia paska w silosie rośnie wraz z zapasami (czysto wizualne, bez twardego limitu pojemności).","The Warehouse is only shown in a plantation city — it pools the harvest from ALL your plantations in that city, not just one. Five “silos” (Coffee, Tobacco, Tea, Cocoa, and — if you happen to have any — the Smuggled crop) show the stock amount and current sale price per unit; the fill level of the bar in a silo rises with the stock (purely visual, no hard capacity limit).","Der Kornspeicher wird nur in einer Plantagenstadt angezeigt — er sammelt die Ernte ALLER deiner Plantagen in dieser Stadt an einem Ort, nicht nur einer. Fünf „Silos“ (Kaffee, Tabak, Tee, Kakao und — falls gerade vorhanden — der geschmuggelte Anbau) zeigen die Bestandsmenge und den aktuellen Verkaufspreis pro Einheit; der Füllstand des Balkens im Silo steigt mit dem Bestand (rein visuell, ohne feste Kapazitätsgrenze)."
"Przycisk „Wyślij i sprzedaj” pod danym silosem sprzedaje NATYCHMIAST cały jego zapas do magazynu w Nowym Jorku po dzisiejszej cenie rynkowej (tej samej, którą widzisz też na ekranie Rynek) — nie da się sprzedać tylko części zapasu. Towar, który zaległ w magazynie dłużej niż rok (360 dni gry), psuje się i przepada bez ostrzeżenia poza kartą wydarzenia informującą o stracie — regularne wysyłanie zapasów jest więc ważniejsze niż czekanie na lepszą cenę.","The “Ship and sell” button under a silo IMMEDIATELY sells its entire stock to the New York warehouse at today's market price (the same one shown on the Market screen) — you can't sell only part of the stock. Goods left in storage for over a year (360 game days) spoil and are lost, with no warning beyond the event card reporting the loss — shipping stock out regularly matters more than waiting for a better price.","Die Schaltfläche „Verschicken und verkaufen“ unter einem Silo verkauft dessen gesamten Bestand SOFORT zum heutigen Marktpreis (demselben, der auch auf dem Markt-Bildschirm angezeigt wird) an das Lager in New York — ein Teilverkauf ist nicht möglich. Ware, die länger als ein Jahr (360 Spieltage) eingelagert bleibt, verdirbt und geht ohne Vorwarnung verloren, außer der Ereigniskarte, die den Verlust meldet — regelmäßiges Verschicken ist daher wichtiger als das Warten auf einen besseren Preis."
"Cztery „sejfy” to cztery fikcyjne linie żeglugowe, każda przypisana do regionu świata: Lloyd (Azja), Star (Afryka), Hanse (Ameryka Południowa) i Royal (Ameryka Północna). Pod każdym widzisz aktualny kurs (w markach za akcję) i liczbę udziałów, które już posiadasz. Przyciski „Kup 10”/„Sprzedaj 10” zawsze handlują pakietem po 10 sztuk naraz, po aktualnym kursie — nie da się kupić/sprzedać innej liczby.","The four “vaults” are four fictional shipping lines, each tied to a world region: Lloyd (Asia), Star (Africa), Hanse (South America) and Royal (North America). Under each you see the current price (in marks per share) and how many shares you already own. The “Buy 10”/“Sell 10” buttons always trade a block of 10 at once, at the current price — you can't buy or sell any other amount.","Die vier „Tresore“ stehen für vier fiktive Reedereien, jede einer Weltregion zugeordnet: Lloyd (Asien), Star (Afrika), Hanse (Südamerika) und Royal (Nordamerika). Darunter siehst du den aktuellen Kurs (in Mark pro Aktie) und wie viele Aktien du bereits besitzt. Die Schaltflächen „Kaufen 10“/„Verkaufen 10“ handeln immer ein Paket von 10 Stück auf einmal, zum aktuellen Kurs — eine andere Stückzahl ist nicht möglich."
"Kursy nie są przypadkowe: rosną, gdy jesteś aktywny/-a na plantacjach w regionie danej linii (kupujesz pola, zatrudniasz robotników), a do tego każdego dnia lekko dryfują losowo o kilka procent w górę lub w dół. Raz na jakiś czas (rzadko, ok. 2% szans na tydzień) zdarza się krach albo hossa — jednorazowa, gwałtowna zmiana kursu WSZYSTKICH czterech linii naraz o 25-45%, w tę samą stronę. Wykres pod przyciskami pokazuje historię wszystkich czterech kursów w czasie, z kolorową legendą pod nim.","Prices aren't random: they rise when you're active on plantations in that line's region (buying plots, hiring workers), and also drift slightly at random by a few percent up or down every day. Every so often (rarely, about a 2% chance per week) a crash or a boom happens — a one-off, sharp change to ALL four prices at once, by 25-45%, in the same direction. The chart below the buttons shows the history of all four prices over time, with a coloured legend underneath.","Die Kurse sind nicht zufällig: Sie steigen, wenn du auf Plantagen in der Region der jeweiligen Reederei aktiv bist (Felder kaufst, Arbeiter einstellst), und schwanken zusätzlich täglich leicht zufällig um einige Prozent nach oben oder unten. Gelegentlich (selten, etwa 2% Wahrscheinlichkeit pro Woche) kommt es zu einem Crash oder Höhenflug — einer einmaligen, heftigen Änderung aller vier Kurse gleichzeitig um 25-45% in dieselbe Richtung. Das Diagramm unter den Schaltflächen zeigt den Verlauf aller vier Kurse über die Zeit, mit einer farbigen Legende darunter."
"Górny wiersz pokazuje bieżącą cenę sprzedaży każdego z czterech towarów (plus przemycanej uprawy, jeśli akurat coś zebrałeś/-aś) w markach za jednostkę — dokładnie tę samą cenę, jaką dostaniesz sprzedając w Spichlerzu. Ceny zmieniają się co dzień losowo o kilka procent; wykres z kolorową legendą pod spodem pokazuje ich historię, żeby ocenić, czy dziś jest dobry moment na sprzedaż, czy lepiej poczekać.","The top row shows the current sale price of each of the four crops (plus the smuggled one, if you happen to have any) in marks per unit — exactly the same price you'd get selling at the Warehouse. Prices change randomly by a few percent every day; the chart with a coloured legend below shows their history, to help judge whether today's a good moment to sell or better to wait.","Die obere Zeile zeigt den aktuellen Verkaufspreis jeder der vier Anbaupflanzen (plus des geschmuggelten Anbaus, falls gerade vorhanden) in Mark pro Einheit — genau den Preis, den du auch beim Verkauf im Kornspeicher bekommst. Die Preise ändern sich täglich zufällig um einige Prozent; das Diagramm mit farbiger Legende darunter zeigt ihren Verlauf, um einzuschätzen, ob heute ein guter Moment zum Verkaufen ist oder ob sich Warten lohnt."
"Sekcja „Kontrakty terminowe” to osobny mechanizm: przycisk „Zawrzyj: [uprawa]” zobowiązuje Cię do dostarczenia 100 jednostek tej uprawy za 30 dni, po cenie ustalonej DZIŚ (z 10% premią ponad bieżącą cenę rynkową) — ta cena jest zamrożona i NIE zmienia się nawet po reformie walutowej, więc to dobre zabezpieczenie przed nadchodzącą inflacją. Aktywne kontrakty widać na liście pod przyciskami. Niedostarczenie w terminie kosztuje karę w wysokości 20% wartości kontraktu.","The “Forward contracts” section is a separate mechanism: the “Sign: [crop]” button commits you to delivering 100 units of that crop in 30 days, at a price fixed TODAY (with a 10% premium over the current market price) — that price is frozen and does NOT change even after a currency reform, making it good protection against coming inflation. Active contracts are shown in the list below the buttons. Missing the deadline costs a penalty of 20% of the contract's value.","Der Abschnitt „Terminkontrakte“ ist ein eigener Mechanismus: Die Schaltfläche „Abschließen: [Pflanze]“ verpflichtet dich, in 30 Tagen 100 Einheiten dieser Pflanze zu liefern, zu einem HEUTE festgelegten Preis (mit 10% Aufschlag auf den aktuellen Marktpreis) — dieser Preis ist eingefroren und ändert sich auch nach einer Währungsreform NICHT, was eine gute Absicherung gegen kommende Inflation ist. Aktive Kontrakte werden in der Liste unter den Schaltflächen angezeigt. Eine verpasste Frist kostet eine Strafe von 20% des Kontraktwerts."
"Aukcje odbywają się według harmonogramu — jedno miasto i jeden dzień na raz, losowane z wyprzedzeniem 4-12 dni. Skrzynka w lewym górnym rogu zawsze pokazuje termin i miasto następnej aukcji; jeśli wejdziesz na ten ekran poza tym terminem, zobaczysz tylko ten komunikat i przycisk powrotu — licytacja jeszcze się nie zaczęła.","Auctions follow a schedule — one city and one day at a time, drawn 4-12 days ahead. The box in the top-left corner always shows the date and city of the next auction; if you open this screen outside that date, you'll only see that message and a back button — bidding hasn't started yet.","Auktionen finden nach einem Zeitplan statt — eine Stadt und ein Tag zur Zeit, 4-12 Tage im Voraus ausgelost. Das Kästchen oben links zeigt immer Termin und Stadt der nächsten Auktion; öffnest du diesen Bildschirm außerhalb dieses Termins, siehst du nur diese Meldung und eine Zurück-Schaltfläche — das Bieten hat noch nicht begonnen."
"Gdy aukcja trwa w Twoim mieście, na środku widać obraz w ramie z szacowaną wartością i pasek 20-sekundowego licznika na każdą rundę. Każdy fizycznie obecny gracz (do 4 w hot-seat) ma WŁASNĄ ramkę po bokach ekranu z przyciskami „Podbij” (podnosi Twoją ofertę o 10% szacowanej wartości obrazu) i „Rezygnuję” (wycofuje Cię z tej rundy — pozostali licytują dalej). Rywale AI, w tym fałszerz Vico Falsari, też podbijają losowo w trakcie odliczania — czasem tuż przed końcem licznika.","While an auction is running in your city, the centre shows the framed painting with its estimated value and a 20-second countdown bar for each round. Every player physically present (up to 4 in hot-seat) has their OWN frame on the sides of the screen with “Bid” (raises your offer by 10% of the painting's estimated value) and “Withdraw” (pulls you out of this round — the others keep bidding) buttons. AI rivals, including the forger Vico Falsari, also bid randomly during the countdown — sometimes right before it runs out.","Läuft eine Auktion in deiner Stadt, zeigt die Mitte das gerahmte Gemälde mit geschätztem Wert und einer 20-Sekunden-Countdown-Leiste pro Runde. Jeder physisch anwesende Spieler (bis zu 4 im Hotseat) hat seinen EIGENEN Rahmen an den Bildschirmrändern mit den Schaltflächen „Bieten“ (erhöht dein Angebot um 10% des geschätzten Gemäldewerts) und „Aussteigen“ (nimmt dich aus dieser Runde — die übrigen bieten weiter). KI-Rivalen, darunter der Fälscher Vico Falsari, bieten während des Countdowns ebenfalls zufällig mit — manchmal kurz vor Ablauf."
"Część wystawionych obrazów to podróbki — wygrana licytacja fałszywki NIE dodaje obrazu do kolekcji, mimo zapłaty. Wyższa eksperckość ze Szkoły sztuki daje szansę na wczesne, własne ostrzeżenie „⚠ możliwa podróbka!” widoczne w Twojej ramce, zanim zalicytujesz — to jedyny efekt eksperckości, nie wpływa na szacowaną wartość. Po rozstrzygnięciu rundy pojawia się przycisk „Galeria »” (jeśli naprawdę wygrałeś obraz do kolekcji) i „« Powrót”. Czasem zamiast zwykłego obrazu trafia się rzadki, bonusowy „ulubiony obraz wuja” — nie liczy się do kompletu 40 obrazów, ale daje dodatkową nagrodę pieniężną.","Some of the paintings on offer are fakes — winning a fake does NOT add a painting to your collection, despite paying for it. Higher expertise from the Art School gives you a chance at an early, personal “⚠ possible forgery!” warning shown in your own frame before you bid — that's the only effect of expertise, it never changes the estimated value. Once a round is resolved, a “Gallery »” button appears (if you truly won a painting for your collection) along with “« Back”. Occasionally, instead of an ordinary painting, a rare bonus “uncle's favourite” painting turns up — it doesn't count towards the set of 40, but pays an extra cash reward.","Manche der angebotenen Gemälde sind Fälschungen — eine ersteigerte Fälschung landet trotz Bezahlung NICHT in deiner Sammlung. Höhere Expertise aus der Kunstschule gibt dir die Chance auf eine frühzeitige, persönliche Warnung „⚠ mögliche Fälschung!“ in deinem eigenen Rahmen, bevor du bietest — das ist der einzige Effekt der Expertise, sie ändert nie den geschätzten Wert. Nach der Entscheidung einer Runde erscheint die Schaltfläche „Galerie »“ (falls du wirklich ein Gemälde für deine Sammlung gewonnen hast) sowie „« Zurück“. Gelegentlich taucht statt eines gewöhnlichen Gemäldes ein seltenes Bonusgemälde auf, ein „Liebling des Onkels“ — es zählt nicht zu den 40 Gemälden, bringt aber eine zusätzliche Geldprämie."
"Dostępna wyłącznie w Paryżu (Hub nie pokaże tej opcji nigdzie indziej). Przycisk „Kurs (2000 M, 28 dni)” w prawym dolnym rogu pobiera opłatę z góry i od razu przesuwa kalendarz o 28 dni — blokuje się (staje się nieaktywny), gdy Twoja eksperckość osiągnie maksimum 90%, żeby nie płacić za kurs, który już nic nie da.","Only available in Paris (the Hub won't show this option anywhere else). The “Course (2000 M, 28 days)” button in the bottom-right corner charges the fee upfront and immediately advances the calendar by 28 days — it becomes disabled once your expertise reaches the 90% maximum, so you don't pay for a course that would no longer give anything.","Nur in Paris verfügbar (die Zentrale zeigt diese Option nirgendwo sonst an). Die Schaltfläche „Kurs (2000 M, 28 Tage)“ unten rechts zieht die Gebühr im Voraus ab und lässt den Kalender sofort um 28 Tage voranschreiten — sie wird deaktiviert, sobald deine Expertise das Maximum von 90% erreicht, damit du nicht für einen Kurs bezahlst, der nichts mehr bringt."
"Po opłaceniu kursu ekran pokazuje mini-grę: dwa niemal identyczne obrazy obok siebie — jeden prawdziwy, drugi jego podróbka. Trzeba wskazać fałszywkę przyciskiem „Ta jest podróbką” pod właściwym obrazem. Trafiona odpowiedź daje +15% eksperckości, nietrafiona tylko +5% — więc nawet pomyłka trochę pomaga, ale dużo mniej niż trafne rozpoznanie.","Once the course is paid, the screen shows a mini-game: two nearly identical paintings side by side — one genuine, the other its fake. You have to point out the fake with the “This is the fake” button below it. A correct guess gives +15% expertise, a wrong one only +5% — so even a mistake helps a little, just much less than a correct call.","Nach der Bezahlung des Kurses zeigt der Bildschirm ein Minispiel: zwei fast identische Gemälde nebeneinander — eines echt, das andere seine Fälschung. Mit der Schaltfläche „Das ist die Fälschung“ darunter muss die Fälschung benannt werden. Eine richtige Antwort bringt +15% Expertise, eine falsche nur +5% — selbst ein Fehler hilft also ein wenig, nur viel weniger als eine richtige Erkennung."
